Name,State,Latitude,Longitude,Flora,Fauna,Area (sq km),Established,Description,Entry Fee,Timings,Best Season,Nearest Airport,Nearest Railway Station,Nearest Bus Stand,Nearest City,Google Maps,Official Website,Image
Vedanthangal Bird Sanctuary,Tamil Nadu,12.544,79.859,"Mangroves, Wetlands, Barringtonia","Painted Stork, Pelican, Spoonbill, Egret",0.30,1936,India's oldest bird sanctuary.,25,6:00 AM - 6:00 PM,November to February,Chennai Airport,Chengalpattu Railway Station,Vedanthangal Bus Stop,Chengalpattu,https://maps.google.com/?q=Vedanthangal+Bird+Sanctuary,https://forests.tn.gov.in,vedanthangal.png
Ranganathittu Bird Sanctuary,Karnataka,12.422,76.659,"Riverine Forest, Bamboo","Crocodile, Painted Stork, Openbill Stork, Spoonbill",0.67,1940,Famous nesting site for migratory birds.,75,9:00 AM - 5:00 PM,November to March,Mysore Airport,Mysore Railway Station,Srirangapatna Bus Stand,Srirangapatna,https://maps.google.com/?q=Ranganathittu+Bird+Sanctuary,https://aranya.gov.in,ranganathittu.png
Bharatpur Bird Sanctuary,Rajasthan,27.159,77.521,"Wetlands, Grasslands, Acacia","Siberian Crane, Pelican, Painted Stork, Heron",29.00,1956,UNESCO World Heritage Site.,75,6:00 AM - 6:00 PM,October to March,Agra Airport,Bharatpur Railway Station,Bharatpur Bus Stand,Bharatpur,https://maps.google.com/?q=Bharatpur+Bird+Sanctuary,https://forest.rajasthan.gov.in,bharatpur.png
Wayanad Wildlife Sanctuary,Kerala,11.685,76.132,"Teak, Bamboo, Rosewood","Elephant, Tiger, Leopard, Gaur",344.44,1973,Part of the Nilgiri Biosphere Reserve.,110,7:00 AM - 5:00 PM,October to May,Kozhikode Airport,Kozhikode Railway Station,Sultan Bathery Bus Stand,Sultan Bathery,https://maps.google.com/?q=Wayanad+Wildlife+Sanctuary,https://forest.kerala.gov.in,wayanad.png
Koyna Wildlife Sanctuary,Maharashtra,17.400,73.750,"Semi-evergreen Forest, Teak","Leopard, Sloth Bear, Gaur, Sambar",423.55,1985,Located in the Western Ghats.,50,7:00 AM - 5:30 PM,October to March,Pune Airport,Satara Railway Station,Satara Bus Stand,Satara,https://maps.google.com/?q=Koyna+Wildlife+Sanctuary,https://mahaforest.gov.in,koyna.png
Bhadra Wildlife Sanctuary,Karnataka,13.699,75.631,"Moist Deciduous Forest, Teak, Bamboo","Tiger, Leopard, Elephant, Gaur",490.46,1951,Known for Project Tiger.,400,6:30 AM - 6:00 PM,October to May,Mangalore Airport,Kadur Railway Station,Chikkamagaluru Bus Stand,Chikkamagaluru,https://maps.google.com/?q=Bhadra+Wildlife+Sanctuary,https://aranya.gov.in,bhadra.png
Chinnar Wildlife Sanctuary,Kerala,10.350,77.167,"Dry Thorn Forest, Sandalwood","Grizzled Giant Squirrel, Elephant, Leopard",90.44,1984,Known for rare giant squirrels.,50,6:00 AM - 5:00 PM,October to March,Cochin Airport,Aluva Railway Station,Marayoor Bus Stand,Marayoor,https://maps.google.com/?q=Chinnar+Wildlife+Sanctuary,https://forest.kerala.gov.in,chinnar.png
Dandeli Wildlife Sanctuary,Karnataka,15.266,74.618,"Evergreen Forest, Bamboo","Black Panther, Hornbill, Leopard, Tiger",866.41,1956,Famous for hornbills and adventure tourism.,100,6:00 AM - 6:00 PM,October to May,Hubli Airport,Alnavar Railway Station,Dandeli Bus Stand,Dandeli,https://maps.google.com/?q=Dandeli+Wildlife+Sanctuary,https://aranya.gov.in,dandeli.png
Bhitarkanika Wildlife Sanctuary,Odisha,20.733,86.900,"Mangrove Forest, Casuarina","Saltwater Crocodile, King Cobra, Spotted Deer",672.00,1975,Famous for crocodile conservation.,40,8:00 AM - 5:00 PM,November to February,Bhubaneswar Airport,Bhadrak Railway Station,Chandbali Bus Stand,Chandbali,https://maps.google.com/?q=Bhitarkanika+Wildlife+Sanctuary,https://odishatourism.gov.in,bhitarkanika.png
Nal Sarovar Bird Sanctuary,Gujarat,22.800,72.050,"Wetlands, Aquatic Vegetation","Flamingo, Pelican, Crane, Duck",120.82,1969,One of India's largest bird sanctuaries.,75,6:00 AM - 6:00 PM,November to February,Ahmedabad Airport,Ahmedabad Railway Station,Sanand Bus Stand,Sanand,https://maps.google.com/?q=Nal+Sarovar+Bird+Sanctuary,https://gujarattourism.com,nalsarovar.png
